"drugbankid","smiles","id"
"DB00543","ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1",5
"DB00545","CN(C)C(=O)OC1=C[N+](C)=CC=C1",122
"DB00547","[H][C@@]12C[C@@H](C)[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C",454
"DB00549","COC1=C(CC2=CN(C)C3=C2C=C(NC(=O)OC2CCCC2)C=C3)C=CC(=C1)C(=O)NS(=O)(=O)C1=CC=CC=C1C",615
"DB00554","CN1C(C(=O)NC2=NC=CC=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O",595
"DB00555","NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1",670
"DB00559","COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1",438
"DB00562","NS(=O)(=O)C1=C(Cl)C=C2NC(CSCC3=CC=CC=C3)=NS(=O)(=O)C2=C1",348
"DB00564","NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12",677
"DB00565","[O-]S(=O)(=O)C1=CC=CC=C1.[O-]S(=O)(=O)C1=CC=CC=C1.COC1=C(OC)C=C(C[C@@H]2C3=CC(OC)=C(OC)C=C3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCC3=CC(OC)=C(OC)C=C3[C@H]2CC2=CC(OC)=C(OC)C=C2)C=C1",127
"DB00568","C(C=CC1=CC=CC=C1)N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1",153
"DB00571","CC(C)NCC(O)COC1=CC=CC2=CC=CC=C12",45
"DB00572","CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1",147
"DB00573","CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1",558
"DB00575","ClC1=CC=CC(Cl)=C1NC1=NCCN1",209
"DB00579","OC1(N2CCN=C2C2=CC=CC=C12)C1=CC=C(Cl)C=C1",657
"DB00582","C[C@@H](C1=NC=NC=C1F)[C@](O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1",614
"DB00585","CNC(NCCSCC1=CSC(CN(C)C)=N1)=C[N+]([O-])=O",387
"DB00586","OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl",551
"DB00588","[H][C@@]12C[C@@H](C)[C@](OC(=O)CC)(C(=O)SCF)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C",467
"DB00589","[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@@H](CN2C)NC(=O)N(CC)CC",28
"DB00590","COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1COC2=CC=CC=C2O1",212
"DB00591","[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@]([H])(F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO",461
"DB00596","[H][C@@]12C[C@H](C)[C@](O)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C",468
"DB00598","CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1",219
"DB00601","CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC(F)=C(C=C1)N1CCOCC1",318
"DB00604","CO[C@H]1CN(CCCOC2=CC=C(F)C=C2)CC[C@H]1NC(=O)C1=CC(Cl)=C(N)C=C1OC",62
"DB00605","CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)=O",311
"DB00606","NS(=O)(=O)C1=C(Cl)C=C2NC(NS(=O)(=O)C2=C1)C1CC2CC1C=C2",353
